"week","niche_cluster","geneset","mean_score","n_cells"
8,"N1","Cytotoxic_NK",0,9
8,"N1","Ethanolamine_Metabolism",0.265098402665969,9
8,"N1","Immune_Tolerance",0.0110970938249304,9
8,"N1","MMP_ECM_Remodeling",0.15350628253717,9
8,"N2","Cytotoxic_NK",0,3
8,"N2","Ethanolamine_Metabolism",0.282614009315218,3
8,"N2","Immune_Tolerance",0.0542957414917592,3
8,"N2","MMP_ECM_Remodeling",0.189972614657765,3
8,"N3","Cytotoxic_NK",0.00971701654990578,214
8,"N3","Ethanolamine_Metabolism",0.230677397885829,214
8,"N3","Immune_Tolerance",0.0487861826515616,214
8,"N3","MMP_ECM_Remodeling",0.138871287160242,214
8,"N4","Cytotoxic_NK",0,76
8,"N4","Ethanolamine_Metabolism",0.277292752562307,76
8,"N4","Immune_Tolerance",0.0595604584446645,76
8,"N4","MMP_ECM_Remodeling",0.120128965158052,76
8,"N5","Cytotoxic_NK",0.00267624394038589,259
8,"N5","Ethanolamine_Metabolism",0.260315516421825,259
8,"N5","Immune_Tolerance",0.0554738093079414,259
8,"N5","MMP_ECM_Remodeling",0.134524461692237,259
8,"N7","Cytotoxic_NK",0.00936685379135061,74
8,"N7","Ethanolamine_Metabolism",0.236896108686935,74
8,"N7","Immune_Tolerance",0.144131134205982,74
8,"N7","MMP_ECM_Remodeling",0.238205412602127,74
8,"N8","Cytotoxic_NK",0.0148744030163078,233
8,"N8","Ethanolamine_Metabolism",0.26552822816816,233
8,"N8","Immune_Tolerance",0.048135891405849,233
8,"N8","MMP_ECM_Remodeling",0.116737794713959,233
9,"N1","Cytotoxic_NK",0,5
9,"N1","Ethanolamine_Metabolism",0.270560656283036,5
9,"N1","Immune_Tolerance",0,5
9,"N1","MMP_ECM_Remodeling",0.191556546022878,5
9,"N2","Cytotoxic_NK",0,3
9,"N2","Ethanolamine_Metabolism",0.370629715063621,3
9,"N2","Immune_Tolerance",0.021004460016968,3
9,"N2","MMP_ECM_Remodeling",0.021004460016968,3
9,"N3","Cytotoxic_NK",0.00558989661741891,124
9,"N3","Ethanolamine_Metabolism",0.288702299311247,124
9,"N3","Immune_Tolerance",0.0377301458296269,124
9,"N3","MMP_ECM_Remodeling",0.117916730544984,124
9,"N4","Cytotoxic_NK",0,49
9,"N4","Ethanolamine_Metabolism",0.301416056073453,49
9,"N4","Immune_Tolerance",0.0522905321800089,49
9,"N4","MMP_ECM_Remodeling",0.149099704770458,49
9,"N5","Cytotoxic_NK",0,126
9,"N5","Ethanolamine_Metabolism",0.309008204946391,126
9,"N5","Immune_Tolerance",0.0451803324928482,126
9,"N5","MMP_ECM_Remodeling",0.134460371706542,126
9,"N6","Cytotoxic_NK",0,10
9,"N6","Ethanolamine_Metabolism",0.355248794807831,10
9,"N6","Immune_Tolerance",0.0504107040407233,10
9,"N6","MMP_ECM_Remodeling",0.234999336143117,10
9,"N7","Cytotoxic_NK",0,15
9,"N7","Ethanolamine_Metabolism",0.245266044854815,15
9,"N7","Immune_Tolerance",0.0553254326238526,15
9,"N7","MMP_ECM_Remodeling",0.195606227320762,15
9,"N8","Cytotoxic_NK",0,84
9,"N8","Ethanolamine_Metabolism",0.249535040909657,84
9,"N8","Immune_Tolerance",0.0415591033658115,84
9,"N8","MMP_ECM_Remodeling",0.142074950885085,84
11,"N1","Cytotoxic_NK",0,57
11,"N1","Ethanolamine_Metabolism",0.153280557542835,57
11,"N1","Immune_Tolerance",0.106236129816638,57
11,"N1","MMP_ECM_Remodeling",0.292630638176227,57
11,"N2","Cytotoxic_NK",0,50
11,"N2","Ethanolamine_Metabolism",0.168345416822099,50
11,"N2","Immune_Tolerance",0.014814303872589,50
11,"N2","MMP_ECM_Remodeling",0.171857541298842,50
11,"N3","Cytotoxic_NK",0.0203866817811749,34
11,"N3","Ethanolamine_Metabolism",0.283018480013731,34
11,"N3","Immune_Tolerance",0.0568597528326842,34
11,"N3","MMP_ECM_Remodeling",0.285451471521835,34
11,"N4","Cytotoxic_NK",0.0173286795139986,200
11,"N4","Ethanolamine_Metabolism",0.23271491037738,200
11,"N4","Immune_Tolerance",0.0568268159752821,200
11,"N4","MMP_ECM_Remodeling",0.309654908866611,200
11,"N5","Cytotoxic_NK",0.0215263099552778,161
11,"N5","Ethanolamine_Metabolism",0.212047736505405,161
11,"N5","Immune_Tolerance",0.0710726249819184,161
11,"N5","MMP_ECM_Remodeling",0.321195520483906,161
11,"N6","Cytotoxic_NK",0,52
11,"N6","Ethanolamine_Metabolism",0.173483164633947,52
11,"N6","Immune_Tolerance",0.0153434891422138,52
11,"N6","MMP_ECM_Remodeling",0.1004807247394,52
11,"N7","Cytotoxic_NK",0,20
11,"N7","Ethanolamine_Metabolism",0.204214728236664,20
11,"N7","Immune_Tolerance",0.054632127912872,20
11,"N7","MMP_ECM_Remodeling",0.33749400277127,20
11,"N8","Cytotoxic_NK",0,65
11,"N8","Ethanolamine_Metabolism",0.197908151844725,65
11,"N8","Immune_Tolerance",0.0530100816870523,65
11,"N8","MMP_ECM_Remodeling",0.271552589429637,65
